modul_id,nama_modul,kategori,bidang,icon,has_approval,has_file_upload,is_public,menu_order,is_active,total_layanan
BDS-KBJ,Kebijakan Distribusi Pangan,Bidang Distribusi,Bidang Distribusi & Cadangan Pangan,document-chart-bar,true,true,false,1,true,5
BDS-MON,Monitoring Distribusi,Bidang Distribusi,Bidang Distribusi & Cadangan Pangan,eye,false,true,false,2,true,5
BDS-HRG,Harga & Stabilisasi,Bidang Distribusi,Bidang Distribusi & Cadangan Pangan,currency-dollar,false,true,true,3,true,5
BDS-CPD,Cadangan Pangan Daerah (CPPD),Bidang Distribusi,Bidang Distribusi & Cadangan Pangan,archive-box-arrow-down,true,true,false,4,true,5
BDS-BMB,Bimbingan & Pendampingan,Bidang Distribusi,Bidang Distribusi & Cadangan Pangan,academic-cap,false,true,false,5,true,5
BDS-EVL,Evaluasi & Monitoring,Bidang Distribusi,Bidang Distribusi & Cadangan Pangan,clipboard-document-check,false,true,false,6,true,4
BDS-LAP,Pelaporan Kinerja,Bidang Distribusi,Bidang Distribusi & Cadangan Pangan,document-text,false,true,false,7,true,1
