nama_pemilik_risiko,tahun,no,jenis_konteks,nama_konteks,anggaran_rp,indikator,kode_risiko,pernyataan_risiko,kategori_risiko,skenario_risiko_khusus_kecurangan,uraian_dampak,metode_pencapaian_tujuan_spip,klasifikasi_unit
"Dheni Tjan, SH, MSi",2025,1,"Sasaran Strategis/Program","meningkatkan ketahanan pangan daerah",780000000,"rasio jumlah cadpang beras pemda",R1,"","", "", "", "",Sekretariat
"Dheni Tjan, SH, MSi",2025,2,"Proses Bisnis/Kegiatan","pengelolaan dan keseimbangan cadpang provinsi",,"tersedia cadangan beras Pemprov",R1,"Membuat justifikasi teknis sebagai dasar lelang kegiatan pekerjaan yang tidak tertuang pada rencana kerja atau pekerjaan yang tidak direncanakan untuk memenangkan kontraktor/vendor/perusahaan tertentu","risiko fraud","Kuasa Pengguna Anggaran membuat justifikasi teknis tanpa melibatkan bidang teknis pada saat pembuatan dan proses lelang DPKP","Penurunan Reputasi","Kegiatan yang efektif dan efisien",Sekretariat
